1,Item,Page 17-18,Categories,Product Type,Name,Style,Display Name,Feature,Filter Tag,Short Description,Group Components,Long Description,CTN,Shipping Weight (LB),Product Dimension (Inch),Material,Material %1,Material %2,Size,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
7767,CM-BN6409BK-L,876,Living,Bench,RIA,Contemporary,,,,"Large Bench, Black",,"Furniture of America RIA Contemporary Large Bench, Black",1,39,"40""L X 19""W X 19 3/4""H",,,,Large,CM-BN6409-L.jpg,Black,Contemporary Style,Fur-like Fabric,Metal & Others,Black,,,,,,,
7768,CM-BN6409BK-S,876,Living,Bench,RIA,Contemporary,,,,"Small Bench, Black",,"Furniture of America RIA Contemporary Small Bench, Black",1,28.7,"21""L X 19""W X 18""H",,,,Small,CM-BN6409-L.jpg,Black,Contemporary Style,Fur-like Fabric,Metal & Others,Black,,,,,,,
7769,CM-BN6409GY-L,876,Living,Bench,RIA,Contemporary,,,,"Large Bench, Grey",,"Furniture of America RIA Contemporary Large Bench, Grey",1,39,"40""L X 19""W X 19 3/4""H",,,,Large,CM-BN6409-L.jpg,Gray,Contemporary Style,Fur-like Fabric,Metal & Others,Gray,,,,,,,
7770,CM-BN6409GY-S,876,Living,Bench,RIA,Contemporary,,,,"Small Bench, Gray",,"Furniture of America RIA Contemporary Small Bench, Gray",1,28.7,"21""L X 19""W X 18""H",,,,Small,CM-BN6409-L.jpg,Gray,Contemporary Style,Fur-like Fabric,Metal & Others,Gray,,,,,,,
7771,CM-BN6409WH-L,876,Living,Bench,RIA,Contemporary,,,,"Large Bench, White",,"Furniture of America RIA Contemporary Large Bench, White",1,39,"40""L X 19""W X 19 3/4""H",,,,Large,CM-BN6409WH-L.jpg,White,Contemporary Style,Fur-like Fabric,Metal & Others,White,,,,,,,
7772,CM-BN6409WH-S,876,Living,Bench,RIA,Contemporary,,,,"Small Bench, White",,"Furniture of America RIA Contemporary Small Bench, White",1,28.7,"21""L X 19""W X 18""H",,,,Small,CM-BN6409WH-L.jpg,White,Contemporary Style,Fur-like Fabric,Metal & Others,White,,,,,,,
7773,CM-BN6410BK-L,876,Living,Bench,ZADA,Contemporary,,,,"Large Bench, Black",,"Furniture of America ZADA Contemporary Large Bench, Black",1,39,"40""L X 19""W X 19 3/4""H",,,,Large,CM-BN6410-L.jpg,Black,Contemporary Style,Fur-like Upholstery,Metal & Others,Black,,,,,,,
7774,CM-BN6410BK-S,876,Living,Bench,ZADA,Contemporary,,,,"Small Bench, Black",,"Furniture of America ZADA Contemporary Small Bench, Black",1,28.7,"21""L X 19""W X 18""H",,,,Small,CM-BN6410-L.jpg,Black,Contemporary Style,Fur-like Upholstery,Metal & Others,Black,,,,,,,
7775,CM-BN6410GY-L,876,Living,Bench,ZADA,Contemporary,,,,"Large Bench, Gray",,"Furniture of America ZADA Contemporary Large Bench, Gray",1,39,"40""L X 19""W X 19 3/4""H",,,,Large,CM-BN6410-L.jpg,Gray,Contemporary Style,Fur-like Upholstery,Metal & Others,Gray,,,,,,,
7776,CM-BN6410GY-S,876,Living,Bench,ZADA,Contemporary,,,,"Small Bench, Gray",,"Furniture of America ZADA Contemporary Small Bench, Gray",1,28.7,"21""L X 19""W X 18""H",,,,Small,CM-BN6410-L.jpg,Gray,Contemporary Style,Fur-like Upholstery,Metal & Others,Gray,,,,,,,
7777,CM-BN6410WH-L,876,Living,Bench,ZADA,Contemporary,,,,"Large Bench, White",,"Furniture of America ZADA Contemporary Large Bench, White",1,39,"40""L X 19""W X 19 3/4""H",,,,Large,CM-BN6410WH-L.jpg,White,Contemporary Style,Fur-like Upholstery,Metal & Others,White,,,,,,,
7778,CM-BN6410WH-S,876,Living,Bench,ZADA,Contemporary,,,,"Small Bench, White",,"Furniture of America ZADA Contemporary Small Bench, White",1,28.7,"21""L X 19""W X 18""H",,,,Small,CM-BN6410WH-L.jpg,White,Contemporary Style,Fur-like Upholstery,Metal & Others,White,,,,,,,
7779,CM-AC6901BK,877,Living,Ottoman,LEHR,Contemporary,,,,"Bench, Black",,"Furniture of America LEHR Contemporary Bench, Black",1,17.6,"18 1/4""L X 18 1/4""W X 18 1/2""H","Chrome, Leatherette",,,0,CM-AC6901CR-BK.jpg,Black,Contemporay Style,Chrome Base,Leatherette Seat,Available in 4 Colors,,,,,,,A touch of modern flare. This ottoman delivers a contemporary style that is carried throught the ottoman form it's chrome base to padded leatherette seat. - -
7780,CM-AC6901GY,877,Living,Ottoman,LEHR,Contemporary,,,,"Bench, Gray",,"Furniture of America LEHR Contemporary Bench, Gray",1,17.6,"18 1/4""L X 18 1/4""W X 18 1/2""H","Chrome, Leatherette",,,0,CM-AC6901.jpg,Gray,Contemporay Style,Chrome Base,Leatherette Seat,Available in 4 Colors,,,,,,,A touch of modern flare. This ottoman delivers a contemporary style that is carried throught the ottoman form it's chrome base to padded leatherette seat. - -
7781,CM-BN6910GL-BK,877,Living,Bench,KERI,Contemporary,,,,"Bench w/ Champagne Legs, Black",,,1,17.38,"31 1/2""L X 11 3/4""D X 19 1/2""H","Leatherette, Metal",,,0,CM-BN6910GL-BK.jpg,Black/Gold,Contemporary Style,Padded Leatherette,Button Tufted,Criss-Cross Side Panel,Open Bottom Shelf,Champagne Frame,Black,,,,"Renew your home with modern furnishings and start with this beautifully upholstered bench. The compact structure and convenient lower shelf allows this piece to fit anywhere in the home. From the entryway to the living room, this bench will surely be  a go-to piece. -"
7782,CM-BN6910GL-WH,877,Living,Bench,KERI,Contemporary,,,,"Bench w/ Champagne Legs, White",,,1,17.38,"31 1/2""L X 11 3/4""D X 19 1/2""H","Leatherette, Metal",,,0,CM-BN6910GL-WH.jpg,White/Gold,Contemporary Style,Padded Leatherette,Button Tufted,Criss-Cross Side Panel,Open Bottom Shelf,Champagne Frame,White,,,,"Renew your home with modern furnishings and start with this beautifully upholstered bench. The compact structure and convenient lower shelf allows this piece to fit anywhere in the home. From the entryway to the living room, this bench will surely be  a go-to piece. -"
7783,CM-BN6912BK-L,877,Living,Bench,ENYA,Contemporary,,,,"Large Bench, Black",,"Furniture of America ENYA Contemporary Large Bench, Black",1,53,"48""W X 28 3/4""D X 18 1/2""H",,,,Large,CM-BN6912BK-L.jpg,Black,Contemporary Style,Tufted Cushion Seat,Crocodile Skin Leatherette,Chrome Metal Frame,"Metal, Others",Available in 2 Colors,Available in 2 Sizes,,,,Enhance your home and living decor with this well-crafted bench. Crocodile leatherette upholstery covers this unique piece and works together with a durable metal frame base to bring a great look to any home decor. Available in two size and color opt ions. -
7784,CM-BN6912BK-S,877,Living,Bench,ENYA,Contemporary,,,,"Small Bench, Black",,"Furniture of America ENYA Contemporary Small Bench, Black",1,32.1,"46 1/2""W X 16 1/4""D X 18 1/2""H",,,,Small,CM-BN6912BK-S.jpg,Black,Contemporary Style,Tufted Cushion Seat,Crocodile Skin Leatherette,Chrome Metal Frame,"Metal, Others",Available in 2 Colors,Available in 2 Sizes,,,,Enhance your home and living decor with this well-crafted bench. Crocodile leatherette upholstery covers this unique piece and works together with a durable metal frame base to bring a great look to any home decor. Available in two size and color opt ions. -
7785,CM-BN6912WH-L,877,Living,Bench,ENYA,Contemporary,,,,"Large Bench, White",,"Furniture of America ENYA Contemporary Large Bench, White",1,39.2,"48""W X 28 3/4""D X 18 1/2""H",,,,Large,CM-BN6912WH-L.jpg,White,Contemporary Style,Tufted Cushion Seat,Crocodile Skin Leatherette,Chrome Metal Frame,"Metal, Others",Available in 2 Colors,Available in 2 Sizes,,,,Enhance your home and living decor with this well-crafted bench. Crocodile leatherette upholstery covers this unique piece and works together with a durable metal frame base to bring a great look to any home decor. Available in two size and color opt ions. -
7786,CM-BN6912WH-S,877,Living,Bench,ENYA,Contemporary,,,,"Small Bench, White",,"Furniture of America ENYA Contemporary Small Bench, White",1,31.9,"46 1/2""W X 16 1/4""D X 18 1/2""H",,,,Small,CM-BN6912WH-S.jpg,White,Contemporary Style,Tufted Cushion Seat,Crocodile Skin Leatherette,Chrome Metal Frame,"Metal, Others",Available in 2 Colors,Available in 2 Sizes,,,,Enhance your home and living decor with this well-crafted bench. Crocodile leatherette upholstery covers this unique piece and works together with a durable metal frame base to bring a great look to any home decor. Available in two size and color opt ions. -
7787,CM-BN6913BK,877,Living,Bench,ZINA,Contemporary,,,,"Bench, Black",,"Furniture of America ZINA Contemporary Bench, Black",1,40.9,"31 1/2""W X 11 3/4""D X 19 1/2""H",,,,0,CM-BN6913BK.jpg,Black,Contemporary Style,Tufted Cushion Seat,Crocodile Skin Leatherette,X-Shape Chrome Legs,"Metal, Others",Available in 2 Colors,,,,,"Fit for any place in the home, be it the entryway, hallway, bedroom or living room, this upholstered bench provides the necessary cushioned comfort for a relaxed setting. The foam-filled seat cushion showcases chic faux leather upholstery mimicking c rocodile skin while the chrome framework provides an angled support system that will surely last for years. -"
