1,Item,,Description,Qty Now,Qty Coming in 7 Days,Qty Coming in 30 Days,,,,Cat 15-16,,Cat 16-17,,
568,CM3100PC-24-DK-2PK,,"PUB CHAIR, DARK CHERRY FINISH (16-P403)",,,,,,847289050322,DSC,,.,,D
569,CM3100PC-2PK,,[DSC] PUB CHAIR  (13-P306),,,,,,847289015796,.,,.,,D
570,CM3100PT,,PUB TABLE W/ LAZY SUSAN  54X(36+18) (16-P403),,,,,,847289015802,DSC,,.,,D
573,CM3100SC-2PK,,[DSC] SIDE CHAIR  (13-P235),,,,,,847289015819,.,,.,,D
577,CM3101PT-7PC,,[DSC] TABLE + 6 COUNTER HEIGHT CHAIRS,,,,,,784,.,,.,,D
616,CM3112AC-2PK,,ARM CHAIR (16-P330),,,,,,847289016021,DSC,,.,,D
617,CM3112SC-2PK,,SIDE CHAIR (16-P330),,,,,,847289016045,DSC,,.,,D
618,CM3112SV,,SERVER (16-P330),,,,,,847289016052,DSC,,.,,D
619,CM3112T,,DINNING TABLE (74X42X31H) (16-P330),,,,,,847289016069,DSC,,.,,D
621,CM3122AC-2PK,,"Arm Chair with wooden seat, Cherry & Vintage White finish (16-P466)",,,,,,847289073277,DSC,,.,,D
622,CM3122BC-AC-2PK,,"Arm Chair with wooden seat, Black + Cherry finish (15-P236)",,,,,,847289093930,.,,.,,D
623,CM3122BC-BN,,"Wooden Bench, Black + Cherry finish (15-P236)",,,,,,847289093947,.,,.,,D
624,CM3122BC-SC-2PK,,"Side Chair with wooden seat, Black + Cherry finish (15-P236)",,,,,,847289093923,.,,.,,D
625,CM3122BC-SV,,"Server, Black + Cherry finish (15-P236)",,,,,,847289093954,.,,.,,D
626,CM3122BC-T,,"42*78 Dining Table with 1*18 leaf, Black + Cherry finish (15-P236)",9,,,,,847289093916,.,,.,,D
627,CM3122BC-T-6PC,,TABLE + 2 ARM CHAIRS + 2 SIDE CHAIRS + BENCH (15-P236),,,,,,856,.,,.,,D
628,CM3122BC-T-7PC,,TABLE + 2 ARM CHAIRS + 4 SIDE CHAIRS (15-P236),,,,,,857,.,,.,,D
629,CM3122BC-T-9PC,,TABLE + 2 ARM CHAIRS + 4 SIDE CHAIRS (15-P236),,,,,,858,.,,.,,D
630,CM3122BN,,"Wooden Bench, Cherry & Vintage White finish (15-P237)",,,,,,847289073284,.,,.,,D
631,CM3122SC-2PK,,"Side Chair with wooden seat, Cherry & Vintage White finish (16-P466)",,,,,,847289073260,DSC,,.,,D
632,CM3122SV,,"Server, Cherry & Vintage White finish (15-P237)",,,,,,847289073291,.,,.,,D
633,CM3122T,,"42*78 Dining table with 1*18 Leaf, Cherry & Vintage White finish (15-P237)",,,,,,847289073253,.,,.,,D
634,CM3122T-6PC,,DINING TABLE + 2 ARM CHAIRS + 2 SIDE CHAIRS + BENCH (15-P237),,,,,,863,.,,.,,D
635,CM3122T-7PC,,DINING TABLE + 2 ARM CHAIRS + 4 SIDE CHAIRS (15-P237),,,,,,864,.,,.,,D
636,CM3123SC-2PK,,SIDE CHAIR (15-P299),123,,,,,847289037804,.,,.,,D
637,CM3123T-1,,ENGLEWOOD ROUND DINING TABLE TOP (15-P299),,,,,,847289037781,.,,.,,D
638,CM3123T-2,,ENGLEWOOD ROUND DINING TABLE BASE (15-P299),,,,,,847289037798,.,,.,,D
639,CM3123T-5PC,,TABLE + 4 CHAIRS (15-P299),,,,,,869,.,,.,,D
640,CM3123T-TABLE,,TABLE (15-P299),,,,,,870,.,,.,,D
641,CM3127PT-1,,ROUND COUNTER HEIGHT TABLE W/8MM TEMPERED GLASS TOP (15-P375),,,,,,847289058618,.,,.,,D
642,CM3127PT-2,,"ROUND COUNTER HEIGHT TABLE BASE, EXPRESSO FINISH (15-P375)",6,,,,,847289058625,.,,.,,D
643,CM3127PT-5PC,,ROUND COUNTER HT TABLE + 4 CHAIRS (15-P375),,,,,,873,.,,.,,D
644,CM3127PT-TABLE,,ROUND COUNTER HT TABLE (15-P375),,,,,,874,.,,.,,D
645,CM3127T-1,,ROUND DINING TABLE W/8MM TEMPERED GLASS TOP (15-P297),,,,,,847289058595,.,,.,,D
646,CM3127T-2,,"ROUND DINING TABLE BASE, EXPRESSO FINISH (15-P297)",8,,,,,847289058601,.,,.,,D
647,CM3127T-5PC,,ROUND DINING TABLE + 4 SIDE CHAIRS (15-P297),,,,,,877,.,,.,,D
648,CM3127T-TABLE,,ROUND DINING TABLE (15-P297),,,,,,878,.,,.,,D
649,CM3128T-7PK,,7 Pc. Dining Table Set (17-P387),8,,,,,847289059172,387,,DSC,,D
661,CM3131PT-3PK,,3 Pc. Counter Ht. Table Set (17-P453),,,,,,841403117250,453,,DSC,,D
662,CM3132SC-2PK,,"Side chair w/fabric, light oak finish (16-P285)",,,,,,841403106292,DSC,,.,,D
663,CM3132SV,,"Server, light oak finish (16-P285)",,,,,,841403106308,DSC,,.,,D
664,CM3132T-1,,"Dining table top, light oak finish (16-P285)",,,,,,841403106278,DSC,,.,,D
665,CM3132T-2,,"Dining table base, light oak finish (16-P285)",,,,,,841403106285,DSC,,.,,D
679,CM3134PC-2PK,,"Counter height chair w/fabric cushion, walnut finish (16-P391)",43,,,,,841403111081,DSC,,.,,D
680,CM3134PT,,"Counter height table w/1*18""leaf, walnut finish (16-P391)",,,,,,841403111074,DSC,,.,,D
683,CM3134SC-2PK,,"Side chair w/fabric cushion, walnut finish (16-P283)",20,,,,,841403111067,DSC,,.,,D
684,CM3134T,,"Dining table w/1*18"" leaf, walnut finish (16-P283)",,,,,,841403111050,DSC,,.,,D
687,CM3135SC-2PK,,"Side chair w/PU cushion, gray finish (16-P308)",,,,,,841403111043,DSC,,.,,D
688,CM3135T,,"Dining table, gray finish (16-P308)",,,,,,841403111036,DSC,,.,,D
691,CM3136RT,,Round Dining Table (17-P317),20,,,,,841403136893,317,,DSC,,D
693,CM3136SC-2PK,,Side Chair (2/CTN) (17-P316),91,,,,,841403136916,316,,DSC,,D
694,CM3136SV,,Server (17-P316),,,,,,841403136923,316,,DSC,,D
695,CM3136T,,Dining Table (17-P316),16,,,,,841403136909,316,,DSC,,D
700,CM3149HB-H,,HUTCH (18-P324),,,,,,847289016250,295,,324,,D
716,CM3151PC-2PK,,"COUNTER HEIGHT CHAIR W/WOODEN SEAT, ACACIA & ESPRESSO FINISH (16-P412)",,,,,,847289039242,DSC,,.,,D
717,CM3151PT,,"COUNTER HEIGHT TABLE W/BUFFERTLY 1*12 LEAF, ACACIA & ESPRESSO FINISH (16-P412)",,,,,,847289039235,DSC,,.,,D
720,CM3151SC-2PK,,"SIDE CHAIR W/WOODEN SEAT, ACACIA & ESPRESSO FINISH (16-P326)",8,,,,,847289039228,DSC,,.,,D
721,CM3151SV,,"SERVER, ACACIA & ESPRESSO FINISH (16-P326)",,,,,,847289039259,DSC,,.,,D
722,CM3151T,,"TWO TONE DINING TABLE W/BUFFERTLY 1*18 LEAF, ACACIA & ESPRESSO FINISH (16-P326)",,,,,,847289039211,DSC,,.,,D
743,CM3154PC-2PK,,COUNTER HT. CHAIR (2/CTN) (18-P480),,,,,,841403160270,SUP-168,,480,,D
744,CM3154PT,,COUNTER HT. TABLE (18-P480),,,,,,841403160263,SUP-168,,480,,D
747,CM3154ST-2PK,,STOOL (2/CTN) (18-P480),,,,,,841403160287,SUP-168,,480,,D
748,CM3154SV,,SERVER (18-P480),,,,,,841403160294,SUP-168,,480,,D
768,CM3169T-1,,Round Dining Table (17-P394),19,,,,,841403144171,394,,DSC,,D
769,CM3169T-2,,Round Dining Table Base (17-P394),20,,,,,841403144188,394,,DSC,,D
787,CM3171BN,,Bench (17-P339),,,,,,841403148698,339,,DSC,,D
788,CM3171SC-2PK,,Side Chair (2/CTN) (17-P339),123,,,,,841403148681,339,,DSC,,D
789,CM3171T,,Dining Table (17-P339),,,,,,841403148674,339,,DSC,,D
798,CM3174BT-3PK,,3 Pc. Bar Table Set (17-P463),,,,,,841403148704,463,,DSC,,D
801,CM3176BK-SC-2PK,,Side Chair (2/CTN) (17-P356),55,,,,,847289052869,356,,DSC,,D
802,CM3176BK-SV,,Server (17-P356),,,,,,847289052890,356,,DSC,,D
803,CM3176BK-T,,DINING TABLE IN BLACK FINISH (16-P377),,,,,,847289052913,DSC,,.,,D
805,CM3176GY-SC-2PK,,"Side Chair, Gray (2/CTN) (17-P356)",,,,,,847289052883,DSC,,.,,D
806,CM3176RD-SC-2PK,,"Side Chair, Red (2/CTN) (17-P356)",,,,,,847289052876,DSC,,.,,D
807,CM3176WH-SC-2PK,,"Side Chair, White (2/CTN) (17-P356)",107,,,,,847289052852,356,,DSC,,D
808,CM3176WH-SV,,Server (17-P356),33,,,,,847289052906,356,,DSC,,D
809,CM3176WH-T,,DINING TABLE IN WHITE FINISH (16-P377),,,,,,847289052920,DSC,,.,,D
811,CM3177BK-T,,"Round Dining Table, Black (17-P356)",7,,,,,935,DSC,,.,,D
